saison_id,saison,liga_id,liga,spiel_id,datum,heim,gast,name,bahn1,bahn2,bahn3,bahn4,gesammt
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Girbig, Daniel",157,160,154,151,622
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Baumgarten, Michel",131,149,168,176,624
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Wiesböck, Michael",140,160,166,146,612
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Braunstein, Tobias",152,157,151,136,596
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Simon, Martin",157,148,148,156,609
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Kopold, Christian",137,153,144,159,593
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Hillebrand, Jürgen",137,150,148,135,570
10,2024,3239,Männer - Bayernliga Süd,211604,14.09.2024,FC Bayern München 1,TSV-SKC Baar-Ebenhaus. 1,"Königer, Michael",146,173,150,162,631
10,2024,3239,Männer - Bayernliga Süd,211605,21.09.2024,SKC Unterthingau 1,TSV Milbertshofen 1,"Haggenmüller, Stefan",140,161,168,157,626
10,2024,3239,Männer - Bayernliga Süd,211605,21.09.2024,SKC Unterthingau 1,TSV Milbertshofen 1,"Hagel, Steffen",121,130,151,127,529
10,2024,3239,Männer - Bayernliga Süd,211605,21.09.2024,SKC Unterthingau 1,TSV Milbertshofen 1,"Steck, Gerhard",132,144,136,138,550
10,2024,3239,Männer - Bayernliga Süd,211605,21.09.2024,SKC Unterthingau 1,TSV Milbertshofen 1,"Dilling, Daniel",139,135,141,153,568
10,2024,3239,Männer - Bayernliga Süd,211605,21.09.2024,SKC Unterthingau 1,TSV Milbertshofen 1,"Friedlein, Werner",149,126,142,142,559
10,2024,3239,Männer - Bayernliga Süd,211605,21.09.2024,SKC Unterthingau 1,TSV Milbertshofen 1,"Imhof, Steffen",129,137,138,130,534
